neighbourhood_group,neighbourhood
,Ahuntsic-Cartierville
,Anjou
,Baie-d'Urfé
,Beaconsfield
,Côte-des-Neiges-Notre-Dame-de-Grâce
,Côte-Saint-Luc
,Dollard-des-Ormeaux
,Dorval
,Hampstead
,Kirkland
,Lachine
,LaSalle
,Le Plateau-Mont-Royal
,Le Sud-Ouest
,L'Île-Bizard-Sainte-Geneviève
,L'Île-Dorval
,Mercier-Hochelaga-Maisonneuve
,Montréal-Est
,Montréal-Nord
,Montréal-Ouest
,Mont-Royal
,Outremont
,Pierrefonds-Roxboro
,Pointe-Claire
,Rivière-des-Prairies-Pointe-aux-Trembles
,Rosemont-La Petite-Patrie
,Sainte-Anne-de-Bellevue
,Saint-Laurent
,Saint-Léonard
,Senneville
,Verdun
,Ville-Marie
,Villeray-Saint-Michel-Parc-Extension
,Westmount
